sido_nm,sigun_nm,amtprcp,norm_year,shortage
서울특별시,서울특별시,94.8,30.5206566291926,-
부산광역시,부산광역시,147.4,80.1282524305164,-
부산광역시,기장군,191.8,78.7599787163177,-
대구광역시,대구광역시,108.4,49.7349971372557,-
대구광역시,달성군,103.6,51.3766867338574,-
인천광역시,인천광역시,92.9,31.9522422884103,-
인천광역시,강화군,94.9,31.4786067565045,-
인천광역시,옹진군,89.7,34.9066666666667,-
광주광역시,광주광역시,117.5,59.406230598269,-
대전광역시,대전광역시,88.6,48.6446200655551,-
울산광역시,울산광역시,135.2,68.4673779610238,-
울산광역시,울주군,152.9,69.7056165590211,-
세종특별자치시,세종시,78.6,44.4238935625605,-
경기도,수원시,93,38.5759054732237,-
경기도,성남시,103.4,34.561891790984,-
경기도,의정부시,107.6,27.5164851608996,-
경기도,안양시,91.6,31.3967590486957,-
경기도,부천시,98.1,28.7634570544389,-
경기도,광명시,77.8,28.4133333333333,-
경기도,평택시,70.7,33.0484489168074,-
경기도,동두천시,89.5,30.6122295515122,-
경기도,안산시,95.1,36.860712296921,-
경기도,고양시,95.6,29.3953228532917,-
경기도,과천시,111,32.5902612190776,-
경기도,구리시,97,25.8344134900118,-
경기도,남양주시,101.1,27.9557561588718,-
경기도,오산시,52.4,33.0825622955181,-
경기도,시흥시,87.2,33.7209154864347,-
경기도,군포시,104.6,36.1703170538199,-
경기도,의왕시,101.5,35.4666825676021,-
경기도,하남시,93.6,31.302819367215,-
경기도,용인시,95.6,39.7942717260153,-
경기도,파주시,100.1,27.3171391424834,-
경기도,이천시,92.6,37.5596513575211,-
경기도,안성시,71.2,37.4177665223709,-
경기도,김포시,98.2,29.0256901892675,-
경기도,화성시,87.9,35.257447714183,-
경기도,광주시,94.6,35.2034144967863,-
경기도,양주시,101.3,28.8917994251807,-
경기도,포천시,92.3,29.232421305685,-
경기도,여주시,89.7,35.9541528663083,-
경기도,연천군,93.7,27.2210237976548,-
경기도,가평군,96.8,28.4786155304235,-
경기도,양평군,98.9,34.2855646026547,-
강원도,춘천시,98.9,29.7407544257355,-
강원도,원주시,79.2,36.9960803042703,-
강원도,강릉시,108.8,55.8657940511074,-
강원도,동해시,113.3,54.4808237237559,-
강원도,태백시,117,50.7711102840122,-
강원도,속초시,116.1,52.3017387461412,-
강원도,삼척시,104,49.9219437529229,-
강원도,홍천군,100.3,34.7246294843412,-
강원도,횡성군,96,37.4235031124489,-
강원도,영월군,99.3,34.5323309531972,-
강원도,평창군,98.4,41.8705594252695,-
강원도,정선군,101.8,38.8773618300655,-
강원도,철원군,94,27.3128148061475,-
