sido_nm,sigun_nm,amtprcp,norm_year,shortage
서울특별시,서울특별시,63.5,20.8842319864641,-
부산광역시,부산광역시,93.1,48.3136636445468,-
부산광역시,기장군,117.6,48.5370383076261,-
대구광역시,대구광역시,70.4,28.9292600678076,-
대구광역시,달성군,75.8,32.761879856478,-
인천광역시,인천광역시,61,20.6789424263057,-
인천광역시,강화군,59.3,19.0433656648884,-
인천광역시,옹진군,59,20.4333333333333,-
광주광역시,광주광역시,72.7,45.1023773520731,-
대전광역시,대전광역시,56.5,33.7774506254328,-
울산광역시,울산광역시,86.1,42.0030482479897,-
울산광역시,울주군,95.2,42.675714068535,-
세종특별자치시,세종시,61,29.9196372597326,-
경기도,수원시,70.2,23.1730013510509,-
경기도,성남시,77.4,20.5619052071984,-
경기도,의정부시,67.4,18.4274914603401,-
경기도,안양시,60.5,20.0534097388609,-
경기도,부천시,66.1,20.9436821282121,-
경기도,광명시,55.3,19.9966666666667,-
경기도,평택시,55.9,21.5578792103158,-
경기도,동두천시,62.4,22.326523592103,-
경기도,안산시,67.5,20.0873118333361,-
경기도,고양시,62.2,20.8911342755695,-
경기도,과천시,73.2,18.7224466717472,-
경기도,구리시,62.3,18.9635351204019,-
경기도,남양주시,65.1,19.1549877124064,-
경기도,오산시,42.8,21.5519814131444,-
경기도,시흥시,63.2,20.7668295770895,-
경기도,군포시,71.5,20.7266420520631,-
경기도,의왕시,72.5,20.6933589350409,-
경기도,하남시,67.8,19.6808224306974,-
경기도,용인시,73.9,24.3060478785495,-
경기도,파주시,63,19.4392697061898,-
경기도,이천시,72.8,23.6388444879869,-
경기도,안성시,58.7,23.8775419181602,-
경기도,김포시,59.4,19.5263532932975,-
경기도,화성시,67.5,21.243014325077,-
경기도,광주시,69.4,20.700139378627,-
경기도,양주시,64.3,20.3330988241162,-
경기도,포천시,60.5,24.5767497926084,-
경기도,여주시,68.6,21.3649288697949,-
경기도,연천군,59.1,24.3326881286412,-
경기도,가평군,60.5,18.5067512780002,-
경기도,양평군,70,21.8376596197464,-
강원도,춘천시,63.4,18.8043366161531,-
강원도,원주시,57.3,20.3945338226239,-
강원도,강릉시,63.7,43.0253944947785,-
강원도,동해시,65.5,37.9725032882723,-
강원도,태백시,56.8,31.369044330939,-
강원도,속초시,69,41.6416505702259,-
강원도,삼척시,60.2,35.4234119654215,-
강원도,홍천군,73.4,21.4995248848318,-
강원도,횡성군,69.8,23.3031274133874,-
강원도,영월군,66.6,20.9753966409684,-
강원도,평창군,64.7,29.5203008789594,-
강원도,정선군,66.7,25.9497725351256,-
강원도,철원군,57.3,31.4663842878371,-
강원도,화천군,60.5,22.9495375831799,-
강원도,양구군,63.7,17.1112709916502,-
강원도,인제군,61.1,20.194996575869,-
강원도,고성군,75.3,29.571352429883,-
강원도,양양군,59.5,39.4596051287493,-
충청북도,청주시,57.1,28.6421754176585,-
충청북도,충주시,57.5,23.3788258151434,-
충청북도,제천시,57.8,20.6607377649015,-
충청북도,보은군,59.3,30.4775975950882,-
충청북도,옥천군,57.5,33.0552176561233,-
충청북도,영동군,59.5,33.1239739736282,-
충청북도,증평군,59.6,26.5827936462837,-
