sido_nm,sigun_nm,amtprcp,norm_year,shortage
서울특별시,서울특별시,108.9,64.5977166999464,-
부산광역시,부산광역시,97.5,124.897326004239,27.3973260042391
부산광역시,기장군,117.2,124.008521571414,6.80852157141429
대구광역시,대구광역시,45.5,71.7207804253314,26.2207804253314
대구광역시,달성군,39.5,75.1678690032885,35.6678690032885
인천광역시,인천광역시,109.5,62.5314153932827,-
인천광역시,강화군,104.8,63.6453085809111,-
인천광역시,옹진군,99,63.1566666666667,-
광주광역시,광주광역시,39.8,85.6836019674627,45.8836019674627
대전광역시,대전광역시,47.6,78.6085073746545,31.0085073746544
울산광역시,울산광역시,75.2,93.9032166814298,18.7032166814298
울산광역시,울주군,79.7,103.964361049228,24.2643610492283
세종특별자치시,세종시,47,78.5489869118355,31.5489869118355
경기도,수원시,104.5,69.9266759632882,-
경기도,성남시,108.3,67.9574668343535,-
경기도,의정부시,119.9,66.1335391994795,-
경기도,안양시,110.3,61.4192002359967,-
경기도,부천시,115.9,62.7913065023577,-
경기도,광명시,96.7,54.6433333333333,-
경기도,평택시,71.3,60.9654231274856,-
경기도,동두천시,88.8,62.8826006336923,-
경기도,안산시,111.6,60.6526149579802,-
경기도,고양시,114.8,62.6831469453258,-
경기도,과천시,127.2,65.8184705049728,-
경기도,구리시,109,61.4724640085882,-
경기도,남양주시,112.8,64.3013198546996,-
경기도,오산시,88.5,65.7968651794171,-
경기도,시흥시,105.1,60.8842975210294,-
경기도,군포시,124,66.8916856762123,-
경기도,의왕시,121,68.3571134986649,-
경기도,하남시,101.7,62.8842975965609,-
경기도,용인시,100.5,72.9912470678192,-
경기도,파주시,101.2,57.9012845688745,-
경기도,이천시,82,73.5480710547929,-
경기도,안성시,61.6,67.9500470437089,6.35004704370894
경기도,김포시,110.1,61.5859112992145,-
경기도,화성시,100.5,63.047802448948,-
경기도,광주시,102.4,66.6171895289391,-
경기도,양주시,104.4,62.2397158221326,-
경기도,포천시,103.7,63.1510635445754,-
경기도,여주시,85.8,69.4415335698136,-
경기도,연천군,100.1,59.3309154444639,-
경기도,가평군,115.6,68.149213325958,-
경기도,양평군,96,73.5329980418015,-
강원도,춘천시,112.7,67.7570650503036,-
강원도,원주시,92.1,70.6667200579754,-
강원도,강릉시,107.8,80.0504614043792,-
강원도,동해시,91.8,72.5164258231003,-
강원도,태백시,115.9,84.0056998218236,-
강원도,속초시,128.9,80.5054487145799,-
강원도,삼척시,96.5,76.407667962993,-
강원도,홍천군,102.9,74.0218360859033,-
강원도,횡성군,106.2,73.0662709268709,-
강원도,영월군,107.8,69.7793819096821,-
강원도,평창군,110.7,77.75323634068,-
강원도,정선군,108.8,74.2513410434012,-
강원도,철원군,95.7,68.6992780085193,-
강원도,화천군,108.4,66.8498924244038,-
강원도,양구군,105.9,63.7554842765515,-
강원도,인제군,116.9,72.928960797699,-
강원도,고성군,128.6,71.8115092303241,-
강원도,양양군,113.2,79.2933180620789,-
충청북도,청주시,48.2,72.3599417226259,24.1599417226259
충청북도,충주시,67.3,71.3672316876991,4.06723168769913
충청북도,제천시,86.7,72.3552728267155,-
충청북도,보은군,53.1,74.6970688840346,21.5970688840346
충청북도,옥천군,56,75.0390348603152,19.0390348603152
충청북도,영동군,50.5,72.6241951112236,22.1241951112236
충청북도,증평군,53.5,71.4026527400103,17.9026527400103
충청북도,진천군,57.5,69.5950774226276,12.0950774226276
충청북도,괴산군,57.4,71.4864232460074,14.0864232460074
충청북도,음성군,61.3,69.6407550207782,8.3407550207782
충청북도,단양군,71.1,67.6126358589652,-
충청남도,천안시,53.4,65.2360470760957,11.8360470760957
충청남도,공주시,54.8,78.6530729987116,23.8530729987116
충청남도,보령시,45.4,76.0374674976185,30.6374674976185
충청남도,아산시,56.3,63.1627083545398,6.86270835453976
충청남도,서산시,88.9,72.4580336207827,-
충청남도,논산시,42.5,78.2719276358163,35.7719276358163
충청남도,계룡시,49.1,80.6365106893597,31.5365106893597
충청남도,당진시,82.5,66.6581700659143,-
충청남도,금산군,43.7,81.0926193704253,37.3926193704253
충청남도,부여군,44,83.1169877228132,39.1169877228132
충청남도,서천군,37.6,75.9553972361132,38.3553972361132
충청남도,청양군,57.2,76.8082982582681,19.6082982582681
충청남도,홍성군,63.8,72.7755861926921,8.97558619269209
충청남도,예산군,64.7,69.5955438661169,4.89554386611685
충청남도,태안군,78.8,72.8607672162148,-
전라북도,전주시,34,73.9060293933266,39.9060293933266
전라북도,군산시,38.7,78.0716561033852,39.3716561033852
전라북도,익산시,42.1,77.8878029545097,35.7878029545097
전라북도,정읍시,28.6,75.1096943458921,46.5096943458921
전라북도,남원시,47.3,83.8152374875655,36.5152374875655
전라북도,김제시,30.3,71.7103258675522,41.4103258675522
전라북도,완주군,43.1,78.0362734244714,34.9362734244714
전라북도,진안군,48.8,85.9227780877028,37.1227780877028
전라북도,무주군,43.5,78.9663256849332,35.4663256849332
전라북도,장수군,44.7,83.5941123480279,38.8941123480279
전라북도,임실군,40.6,78.6960621545463,38.0960621545463
전라북도,순창군,42.7,86.279891624479,43.579891624479
전라북도,고창군,29.1,79.4938301351685,50.3938301351685
전라북도,부안군,40.2,78.3869617806168,38.1869617806168
전라남도,목포시,49.9,78.0824210449512,28.1824210449512
전라남도,여수시,82.1,126.602437179215,44.5024371792151
전라남도,순천시,65.6,106.49598457841,40.8959845784099
전라남도,나주시,39.1,80.928304130654,41.828304130654
전라남도,광양시,90.4,128.751103582749,38.3511035827486
전라남도,담양군,42.4,84.3326134310086,41.9326134310086
전라남도,곡성군,32.4,80.9308378306857,48.5308378306857
전라남도,구례군,70.8,92.8574963148271,22.0574963148271
전라남도,고흥군,92.5,127.137834337003,34.6378343370025
전라남도,보성군,74.1,112.216814942208,38.1168149422084
전라남도,화순군,35.5,86.7653977548776,51.2653977548776
전라남도,장흥군,70,111.85200607762,41.8520060776198
전라남도,강진군,60.5,105.886464329872,45.3864643298722
전라남도,해남군,51.8,95.4347653794746,43.6347653794746
전라남도,영암군,44.4,84.2860646665071,39.8860646665071
전라남도,무안군,38.6,80.0391915745195,41.4391915745195
전라남도,함평군,39.5,81.9933372675452,42.4933372675452
전라남도,영광군,40.4,81.7565266374901,41.3565266374901
전라남도,장성군,35.7,84.7628321383356,49.0628321383356
전라남도,완도군,74.5,130.743310311542,56.2433103115416
전라남도,진도군,72.2,100.835969573355,28.6359695733549
전라남도,신안군,52.3,82.5175307143301,30.2175307143301
경상북도,포항시,69.9,82.1764351231332,12.2764351231332
경상북도,경주시,56.4,82.8714846860069,26.4714846860069
경상북도,김천시,43,75.8972214145966,32.8972214145966
경상북도,안동시,93.8,71.8512790807098,-
경상북도,구미시,49.4,71.3185667724777,21.9185667724777
경상북도,영주시,106.5,80.4509705268832,-
경상북도,영천시,62.1,76.7775595825786,14.6775595825786
경상북도,상주시,68.1,78.6542525531454,10.5542525531454
경상북도,문경시,79.7,81.0211806625959,1.32118066259586
경상북도,경산시,50.3,74.3050360955315,24.0050360955315
경상북도,군위군,53.8,69.727840463159,15.927840463159
경상북도,의성군,66.3,69.8073570930585,3.50735709305856
경상북도,청송군,68,72.2305438337079,4.23054383370794
경상북도,영양군,100.9,73.8722465905239,-
경상북도,영덕군,72.8,76.6632504389887,3.86325043898873
경상북도,청도군,54.4,83.2062441045582,28.8062441045582
경상북도,고령군,50.4,75.554662572619,25.154662572619
경상북도,성주군,43.6,79.7850926190402,36.1850926190402
경상북도,칠곡군,48.2,72.295034905958,24.095034905958
경상북도,예천군,93.4,76.0836709400782,-
경상북도,봉화군,108.7,81.0472672654824,-
경상북도,울진군,104,82.1311859595996,-
경상북도,울릉군,155.5,94.17,-
경상남도,창원시,75.1,104.592241149208,29.4922411492079
경상남도,진주시,70.5,112.967199089686,42.467199089686
경상남도,통영시,93.4,136.584777707479,43.1847777074788
경상남도,사천시,76.5,121.442131103088,44.9421311030881
경상남도,김해시,71.3,99.1409859912188,27.8409859912188
경상남도,밀양시,61.8,86.3880601314718,24.5880601314718
경상남도,거제시,100,166.785624441012,66.7856244410121
경상남도,양산시,83,102.357547513886,19.3575475138861
경상남도,의령군,59.2,90.5612060466234,31.3612060466234
경상남도,함안군,53,88.8916229407915,35.8916229407915
경상남도,창녕군,53.4,77.060446584861,23.660446584861
경상남도,고성군,88.6,121.148912617298,32.548912617298
경상남도,남해군,105,169.238346568896,64.2383465688959
경상남도,하동군,85.7,127.995689905614,42.2956899056138
경상남도,산청군,71.5,112.76634213932,41.26634213932
경상남도,함양군,50,89.0341207631863,39.0341207631863
경상남도,거창군,49.6,85.4599924396274,35.8599924396274
경상남도,합천군,53.4,84.1201474425396,30.7201474425396
제주특별자치도,제주시,121.8,135.322714876768,13.5227148767684
제주특별자치도,서귀포시,187.4,185.782105480362,-
